kab_kota,latitude,longitude
Tojo Una-una,-0.9149082,121.5863428
Toli-toli,1.038459,120.8182694
Banggai Laut,-1.6065494,123.4941766
Banggai,-0.9945966,122.7863554
Poso,-1.3954382,120.7526036
Sigi,-1.0585644,119.9507733
